property_type,borough,surface_covered_in_m2,price_per_m2,lat,lon,price_aprox_usd
apartment,Álvaro Obregón,70.0,10043.21429,19.376392,-99.192439,37039.91
house,Iztacalco,187.0,12834.2246,19.390301,-99.11161,126447.56
house,Iztapalapa,250.0,10282.0,19.373264,-99.104161,135430.6
apartment,Venustiano Carranza,80.0,9810.0,19.416439,-99.125632,41358.15
house,Tlalpan,150.0,14500.0,19.271242,-99.160156,114593.1
apartment,Benito Juárez,70.0,24714.28571,19.401456,-99.146787,91147.61
house,Coyoacán,65.0,5549.769231,19.326115,-99.109844,19005.85
apartment,Iztacalco,54.0,16648.14815,19.4045899,-99.0601489,47376.38
apartment,Cuauhtémoc,84.0,58333.33333,19.4169673,-99.1658498,258224.99
apartment,Miguel Hidalgo,97.0,38659.79381,19.400249,-99.177444,197574.31
apartment,Cuauhtémoc,62.0,30469.35484,19.4553585442,-99.1632923484,99530.03
apartment,Cuauhtémoc,90.0,16777.77778,19.440749,-99.141649,79556.59
apartment,Azcapotzalco,90.0,16268.51111,19.484532,-99.207027,77141.75
apartment,Iztacalco,46.0,18456.52174,19.410307,-99.065399,44730.82
apartment,Benito Juárez,97.0,32989.69072,19.379376,-99.165182,168596.74
apartment,Benito Juárez,98.0,10204.08163,19.389044,-99.179657,52686.48
house,Tlalpan,150.0,26880.0,19.274141,-99.166374,212482.27
apartment,Gustavo A. Madero,110.0,21363.63636,19.478473,-99.120734,123813.23
apartment,Azcapotzalco,98.0,25111.0,19.469769,-99.157379,129655.0
house,Tlalpan,184.0,20652.17391,19.2801195,-99.2137844,200208.63
apartment,Miguel Hidalgo,85.0,14839.36471,19.452143,-99.181477,66455.88
house,Gustavo A. Madero,2.0,930000.0,19.4510306354,-99.065538235,97996.85
apartment,Miguel Hidalgo,287.0,18745.6446,19.43475,-99.189814,283453.28
apartment,Benito Juárez,74.0,39675.67568,19.3807458,-99.1553016,154724.19
apartment,Cuauhtémoc,351.0,4305.792023,19.445742,-99.159469,79626.82
apartment,Álvaro Obregón,64.0,28125.0,19.386551,-99.193708,94858.16
apartment,Azcapotzalco,64.0,22656.25,19.466822,-99.157379,76395.4
apartment,Benito Juárez,63.0,32673.01587,19.370501,-99.139389,108475.57
apartment,Álvaro Obregón,150.0,22800.0,19.382986,-99.241837,180230.5
house,Iztapalapa,100.0,5100.0,19.383948,-99.067884,26870.1
house,Xochimilco,368.0,20824.53804,19.2707122505,-99.1396721452,403854.93
house,Gustavo A. Madero,144.0,10034.72222,19.4548897,-99.0538781,76131.96
apartment,Venustiano Carranza,10.0,100000.0,19.417028,-99.065176,52686.48
apartment,Azcapotzalco,75.0,8053.333333,19.462425,-99.17654,31822.63
apartment,Coyoacán,302.0,3471.688742,19.306092,-99.113431,55252.24
house,Tlalpan,80.0,42500.0,19.286214,-99.222026,179134.04
apartment,Cuauhtémoc,105.0,19326.98095,19.408904,-99.174556,106918.42
house,Álvaro Obregón,250.0,9520.0,19.337902,-99.236776,125393.83
apartment,Azcapotzalco,49.0,18720.44898,,,48340.87
house,Álvaro Obregón,290.0,8927.586207,19.353288,-99.244721,136405.3
apartment,Azcapotzalco,75.0,18000.0,19.474885,-99.188231,71126.75
apartment,Álvaro Obregón,93.0,46011.82796,19.358585,-99.185753,225450.73
apartment,Álvaro Obregón,300.0,8963.926667,19.337013,-99.197613,141683.33
apartment,Benito Juárez,70.0,14885.71429,19.379525,-99.188914,54899.31
apartment,Cuajimalpa de Morelos,162.0,27160.49383,,,231820.52
apartment,Iztacalco,80.0,16150.0,19.400731,-99.125466,68070.93
apartment,Benito Juárez,150.0,52666.66667,,,416223.22
apartment,Benito Juárez,,,19.390283,-99.1770974,274732.59
apartment,Cuauhtémoc,110.0,36818.18182,19.4124708,-99.1717827,213430.86
apartment,Miguel Hidalgo,80.0,41574.125,19.428324,-99.176337,175231.55
house,Xochimilco,176.0,23450.75568,19.272594,-99.137045,217506.23
house,La Magdalena Contreras,,,19.2981344924,-99.2395804077,200998.93
apartment,Azcapotzalco,70.0,12428.57143,19.480501,-99.178139,45837.24
house,Azcapotzalco,110.0,25454.54545,19.472634,-99.197437,147522.15
apartment,Tlalpan,64.0,40103.125,,,135225.12
house,Álvaro Obregón,496.0,3053.790323,19.352528,-99.217276,79822.08
apartment,Azcapotzalco,60.0,17666.66667,,,55847.67
apartment,Iztacalco,78.0,23974.35897,19.402752,-99.098587,98523.72
apartment,Azcapotzalco,90.0,15895.95556,19.465454,-99.162665,75375.18
apartment,Cuauhtémoc,175.0,45714.28571,19.4114169,-99.1739405,421591.82
apartment,Benito Juárez,,,,,465801.2
apartment,Benito Juárez,108.0,39351.85185,19.3853063,-99.1521292,223970.65
apartment,Venustiano Carranza,48.0,19541.66667,19.414261,-99.104118,49419.92
apartment,Miguel Hidalgo,255.0,32820.26667,19.443152,-99.202733,440942.03
apartment,Álvaro Obregón,42.0,33333.33333,19.364996,-99.241523,73761.07
apartment,Cuauhtémoc,105.0,19326.98095,19.408904,-99.174556,106918.42
apartment,Tlalpan,95.0,11042.10526,19.290953,-99.124863,55268.12
apartment,Álvaro Obregón,60.0,20833.33333,,,65858.1
apartment,Álvaro Obregón,168.0,37797.61905,19.3609784,-99.2084005,334559.17
apartment,Álvaro Obregón,100.0,46620.0,,,245682.63
house,Tlalpan,140.0,21250.0,19.2865191,-99.2283274,156779.46
apartment,Cuauhtémoc,137.0,10218.9781,19.418048,-99.158527,73761.07
apartment,Miguel Hidalgo,288.0,32652.76042,19.443178,-99.20237,495463.43
house,Tlalpan,130.0,16857.69231,19.281164,-99.20237,115462.42
apartment,Miguel Hidalgo,70.0,8642.857143,19.405883,-99.183079,31875.32
